<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
Pa875:MRG:2:250039820	-0.011676745	-0.022808762	0.032161854	8.67986E-4	0.022400243
Pa880:MRG:8:250040824	-0.019395906	-0.024339713	0.047136154	-0.010354504	0.013047036
Pa91:MRG:2:250040163	-0.058349345	-0.05891977	0.07964972	0.048583105	0.036336433
R109B:C08L7ACXX:6:250047926	-0.029589366	-0.023933807	0.01149124	0.017605787	0.0028331678
R168:C08L7ACXX:6:250047929	-0.0480035	-0.037514314	0.02256291	0.030360965	-0.0028358242
R177:MRG:2:250040072	-0.04288759	-0.047400568	0.04192507	0.050191578	0.011318637
R229:MRG:2:250040041	-0.11672743	0.14275101	-0.032390796	-0.024827687	0.06740194
R4:MRG:2:250040086	-0.05524669	-0.0200806	0.046188537	0.038229443	0.025489554
SA24:MRG:2:250040033	-0.020315843	-0.076755576	-0.12174762	0.01304907	0.01209038
SC213R:C08L7ACXX:6:250047978	0.020150123	-0.022187762	0.005636826	-0.021230623	-0.006117974
SC357:MRG:2:250040094	0.014367951	-0.01701924	-0.0049915332	-0.008654878	-0.011961809
SC55:MRG:2:250040090	0.028305743	-0.018435996	-0.010568267	-0.009847781	-0.0051029418
SD40:MRG:2:250040070	-0.06645082	0.016798263	0.026122494	-0.013624583	0.011290764
SD44:MRG:2:250040030	-0.043693583	-0.03128674	0.055825815	0.019286294	0.03054269
Sg1533:MRG:2:250040200	-0.01805493	-0.06981824	-0.11541853	0.022160389	0.0055542416
Sg18:C08L7ACXX:6:250047958	-0.025393104	-0.068901144	-0.12831846	0.02097791	0.0043501183
T232:MRG:2:250040156	-0.013076711	0.004289006	-0.0037345155	0.008387819	-0.031091066
T234:MRG:2:250040008	-0.013388893	-0.028782912	0.009204735	0.006186556	-0.005168514
T8:MRG:2:250040060	-0.0030416853	-0.04068813	0.032140538	-0.022072012	-0.0015000293
Tx303:MRG:8:250040816	0.03177785	2.5912395E-4	-0.0026874247	0.005524784	-9.2011574E-4
Tx303(Ames19327):MRG:2:250027498	0.030543648	0.0015208331	-0.0029944784	0.0048791757	-6.262311E-4
Tx601:MRG:2:250040059	0.08332016	0.014779552	-0.005483151	0.0053384136	9.449536E-4
Tzi10:MRG:2:250040038	0.08618822	0.017441211	-0.007693682	-8.200932E-4	-0.0020704698
Tzi11:MRG:2:250040092	0.060387123	0.022726	-0.0050411257	-0.006534848	0.003014659
Tzi16:MRG:2:250040058	0.02565211	0.030587038	-0.0040647616	7.540383E-4	0.01130531
Tzi18:MRG:2:250040049	0.09433972	0.025034642	-0.0021939254	0.003844676	-0.0038907125
Tzi25:C08L7ACXX:6:250047965	0.009835893	0.06837862	-0.015195779	-0.0090486165	0.026744986
Tzi8:MRG:8:250040823	0.08359517	0.028623398	-1.5372856E-4	0.002456254	0.0017516859
Tzi8(PI506246):MRG:2:250027752	0.08707562	0.028504139	-0.0012427389	0.0011680506	0.0034390178
Tzi9:MRG:2:250040017	0.08391802	0.01766389	0.0016522101	0.0072419746	-0.0042049917
U267Y:MRG:2:250040221	0.019442968	-0.01981084	0.026356408	-1.9149782E-6	0.00941387
VA102:MRG:2:250040204	-0.12108089	0.1241295	-0.04097584	-0.027945235	0.073460676
Va14:MRG:2:250040022	-0.024764786	-0.04613792	0.07478783	-0.008346992	0.018449277
Va17:MRG:2:250040077	-0.027220733	-0.049199328	0.08609098	-0.0113135865	0.02072061
Va22:C08L7ACXX:6:250048010	-0.018096464	-0.050181262	0.06409803	-0.044175997	0.010054031
Va26:MRG:2:250040214	-0.04974871	-0.059223097	0.067504436	0.08223458	0.04363574
Va35:C08L7ACXX:6:250047974	-0.011917429	-0.055937745	0.037723884	-0.07085693	-0.0077004232
Va59:C08L7ACXX:6:250047955	-0.012371311	-0.061009325	0.03933061	-0.1030231	-0.010744455
Va85:MRG:2:250040165	-0.039142605	-0.043364126	0.02910643	0.017588546	0.008481489
Va99:MRG:2:250039826	-0.063679785	-0.026416257	0.055848006	0.041558195	-0.009845739
VaW6:MRG:2:250040082	-0.008673772	-0.025235439	0.04162874	0.0290194	0.018020794
W117Ht:C08L7ACXX:6:250047949	-0.021724729	-0.039559778	-0.007913305	0.009289275	-0.0058882935
W153R:C08L7ACXX:6:250048003	-0.027564969	-0.04470991	0.027357632	0.0361654	0.0065407716
W182B:MRG:2:250039832	-0.0408526	-0.047275838	0.019649625	0.030203715	-9.207469E-4
W22:MRG:8:250040808	-0.044665918	-0.037983865	0.047354065	0.052362252	4.0005578E-4
W22R-r-std_CS-2909-1:MRG:2:250040186	-0.04494855	-0.038732406	0.047844905	0.051908076	-8.1488665E-4
W64A:MRG:2:250040195	-0.052307416	-0.023485921	0.076098025	-0.0067337696	0.04188732
WD:C08L7ACXX:6:250047935	-0.027953835	-0.048443545	-0.014797897	0.004729463	0.0014940781
Wf9:MRG:2:250040168	-0.050132688	-0.037791744	0.092428036	0.012242552	0.031837247
Yu796_NS:MRG:2:250040150	-0.024024978	-0.02389276	0.0031637186	-0.032230504	-0.007112478
tripsacum:C08L7ACXX:6:250048015	0.022275258	0.0072477255	-0.024616068	-8.087266E-7	0.0071207522
