<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
CI64:MRG:2:250040128	0.0108466195	-0.019687122	-0.0055334573	0.008544902	-0.010517413
CI66:C08L7ACXX:6:250047983	0.01027604	-0.021173485	-0.0012954653	0.0048625246	0.0014818391
CI90C:MRG:2:250040147	-0.00553968	-0.024446823	0.022249432	0.03221265	0.012019402
CI91B:MRG:2:250040199	-0.05778802	0.0030651088	0.031118738	-0.029949315	0.043216836
CM105:C08L7ACXX:6:250047997	-0.11126238	0.091121145	-0.003530302	0.01797586	-0.10317635
CM174:MRG:2:250039752	-0.10103602	0.07112117	-8.4258954E-4	0.022372205	-0.13007298
CM37:MRG:2:250040174	-0.051297825	-0.07650948	-0.060069572	0.0041133612	-0.027476404
CM7:MRG:2:250040047	-0.029498288	-0.043768883	-0.016498705	0.005187625	-0.010738807
CML10:MRG:2:250040181	0.100459896	0.023850603	-0.0042569577	0.0074917474	-0.0029399947
CML103:MRG:8:250040815	0.06434798	0.0144256735	-0.0093637435	0.0040195617	-0.0052614636
CML103(Ames27081):62P7LAAXX:4:250027883	0.062517494	0.01710923	-0.009213767	0.0043238336	-0.00448087
CML108:MRG:2:250040154	0.07447363	0.014395184	-0.0031064176	-0.0039124037	-7.3834375E-4
CML11:MRG:2:250040005	0.0998996	0.025336633	-0.0038855828	0.0071136286	-0.0029555685
CML14:C08L7ACXX:6:250047945	0.09573215	0.0278668	-0.0037825652	0.0037982087	-0.002963801
CML154Q:MRG:2:250040190	0.09145618	0.022184277	0.002659954	0.004276478	-0.002245816
CML157Q:C08L7ACXX:6:250048008	0.091184005	0.022590902	-0.005127262	0.0055979234	-0.0013550717
CML158Q:MRG:2:250040066	0.08976506	0.02528073	-0.008339783	0.0032179563	-8.2787557E-4
CML206:81N4HABXX:3:250033178	0.08370871	0.017230453	-0.0032921568	0.0011813578	-0.0053420546
CML206(Krakowsky):MRG:2:250042365	0.08355767	0.01721629	-0.0031027494	0.0010724647	-0.0053624744
CML218:MRG:2:250040138	0.088402346	0.021832107	-0.0049164146	0.0028009596	4.358953E-4
CML220:C08L7ACXX:6:250047985	0.08471124	0.021190636	-0.0031322946	0.009466415	-0.0035183316
CML228:MRG:8:250040805	0.09819186	0.031550735	-0.0029305785	0.0021567792	0.0063847094
CML228(Ames27088):62P7LAAXX:4:250027960	0.0952135	0.032864593	-0.0031821176	0.0016938805	0.006966821
CML238:C08L7ACXX:6:250047992	0.097343996	0.024030482	0.0011477147	4.8518402E-4	4.2852396E-4
CML247:MRG:8:250040838	0.10303221	0.02840337	-0.007887844	0.005514588	-0.0024694884
CML247(PI595541):62P7LAAXX:4:250027894	0.10134497	0.028647043	-0.008092509	0.0049269134	-0.0026842894
CML254:MRG:2:250040087	0.09729185	0.020694176	-0.004825223	0.0056355726	-0.0054336125
CML258:C08L7ACXX:6:250047962	0.09768402	0.024731465	-0.0054154834	0.007847461	8.3400164E-4
CML261:MRG:2:250040170	0.09433653	0.024898775	-0.0014550567	0.007022029	-0.003111464
CML264:MRG:2:250040021	0.09956587	0.02537915	-0.0014061921	0.006799805	-0.004012273
CML277:MRG:8:250040807	0.09988939	0.03243968	-0.005525058	0.008909127	0.0027547178
CML277(PI595550):62P7LAAXX:4:250027904	0.097355716	0.033419516	-0.005857787	0.008067582	0.003968237
CML281:C08L7ACXX:6:250047928	0.09278397	0.028942322	-1.5857647E-4	0.003878694	-0.0023376527
CML287:C08L7ACXX:6:250047941	0.09517289	0.022678826	-0.0041633626	0.0044970633	-0.002222245
CML311:C08L7ACXX:6:250048014	0.08164999	0.018004319	-0.0071789967	0.009751964	-0.0063472125
CML314:MRG:2:250040006	0.09335189	0.021031655	-0.0036690007	0.008365153	0.001080608
CML321:MRG:2:250040080	0.09594277	0.019723604	-0.0049927165	0.0015736438	7.252564E-4
CML322:MRG:8:250040829	0.07975285	0.034254096	-0.0036061965	0.016085774	-0.017608674
CML322(Ames27096):62P7LAAXX:4:250027942	0.07834825	0.035120744	-0.0038145087	0.0153384	-0.016833132
CML323:C08L7ACXX:6:250047968	0.05383938	0.011225664	-0.0066740154	-4.384586E-5	-0.011138847
CML328:MRG:2:250040151	0.0761811	0.012587332	-0.0068956716	0.005871267	-0.0034813734
CML330:81N4HABXX:2:250033056	0.096421406	0.021240087	0.0028684349	0.0047396733	-0.0019689035
CML331:MRG:2:250040037	0.09087369	0.030381424	-0.0035939675	0.012218414	-0.010533326
CML332:C08L7ACXX:6:250047996	0.095287606	0.030298337	-0.004800018	0.010083039	-0.005606181
CML333:MRG:8:250040811	0.075638786	0.026595758	-0.0034210074	-5.4322527E-4	-0.0029708892
CML333(Ames27101):62P7LAAXX:4:250027879	0.07415977	0.027605638	-0.0036820918	-0.0012490881	-0.0024185649
CML341:MRG:2:250040010	0.09638437	0.030102117	-0.004896648	0.003875587	-9.252514E-5
CML38:MRG:2:250040177	0.09962902	0.025599921	-0.002278873	0.0039331377	-0.0044737146
CML418:81FE7ABXX:7:250031818	0.07818409	0.021730158	-0.009446329	0.0042380397	-0.004095237
CML45:MRG:2:250039776	0.10039474	0.025673037	-9.978596E-4	0.0060052057	0.0026081963
CML5:MRG:8:250040818	0.09567262	0.023140732	-0.003336557	0.0057167048	-0.0036278963
CML52:MRG:8:250040810	0.09581046	0.029543193	-0.006830816	0.0045058574	0.00475873
CML52(PI595561):62P7LAAXX:4:250027899	0.0923203	0.032953903	-0.007960689	0.0061575584	0.005759034
CML61:MRG:2:250040175	0.09719072	0.025726216	-0.005981771	0.0052779107	-0.0011479824
CML69:MRG:8:250040822	0.092342176	0.032203477	-0.0061517716	0.0047201063	0.0035475679
CML69(Ames28184):62P7LAAXX:4:250027909	0.08991856	0.03294303	-0.007279058	0.0033347341	0.0043742694
CML77:MRG:2:250040083	0.057669483	0.021140393	-0.0036154275	-0.0040969253	-0.012893781
CML91:MRG:2:250039838	0.061509248	0.015596723	-0.0029823696	0.003636074	-0.018986164
CML92:C08L7ACXX:6:250047942	0.054506708	0.033235308	0.008517278	0.014631628	-0.017615596
CMV3:MRG:2:250040191	-0.030127624	-0.03327102	-0.013606242	0.01787356	-0.030694976
CO106:C08L7ACXX:6:250047961	-0.024472786	-0.03731692	-0.0032940798	0.009112476	-0.0056919996
CO125:C08L7ACXX:6:250047975	-0.022889897	-0.02829143	1.9886869E-4	0.00963014	0.005714542
CO255:MRG:2:250040207	-0.016222429	-0.054722086	-0.05115549	0.010432332	-0.0065985178
D940Y:MRG:2:250040091	0.009154552	-0.025603294	0.008818658	-0.014446346	-0.0069043967
DE1:MRG:2:250040061	-0.03272938	-0.027956316	0.04447864	-0.0022503173	0.014756966
DE811:MRG:2:250040133	-0.07113134	0.06621739	0.011626847	-0.020732755	-0.10055453
DE_2:MRG:2:250039746	-0.03564668	-0.024428196	0.042868823	0.0011328057	0.017405147
DE_3:C08L7ACXX:6:250047936	-0.040338725	-0.005878065	0.021758618	-0.03078596	0.02116636
E2558W:MRG:2:250040203	0.012071565	-0.024042439	-0.0015339225	0.0056821154	-0.0072011356
EMPTY:MRG:2:250040222	-0.036856692	-0.095231734	0.06275875	0.08138146	0.03989842
EP1:C08L7ACXX:6:250048006	0.004172512	-0.04822902	-0.06595335	0.0020306727	-0.0060119587
F2834T:MRG:2:250040042	0.046758946	-0.0035543223	-0.009710231	0.0056376336	-0.0058182045
F44:MRG:2:250040153	0.010993677	-0.022865739	-0.008024427	-0.004727789	-0.003105429
F6:C08L7ACXX:6:250047964	0.004846602	-0.029548632	-0.006065552	-0.008939052	-0.0047894716
F7:C08L7ACXX:6:250048005	-0.01682956	-0.06414547	-0.0688199	0.006076733	-0.006457656
GA209:MRG:2:250040014	-4.164292E-4	-0.025758428	-0.010063516	-0.0015101279	-0.005712937
GT112:MRG:2:250040054	0.023065215	-0.019681543	0.0050510243	-0.020788977	-0.0012638365
H105W:MRG:2:250040018	-0.08755605	0.062797256	0.0034399836	0.012791317	-0.13607389
H49:MRG:2:250040032	-0.030961225	-0.034141917	0.080754176	0.013979178	0.02448306
H84:MRG:2:250040171	-0.07589354	0.042154096	-0.0047916765	-0.005092485	0.045582674
H91:C08L7ACXX:6:250047979	-0.111651845	0.10710117	0.013348097	0.016927663	-0.1410572
H95:MRG:2:250039837	-0.029455962	-0.049337488	0.055544484	0.07199995	0.042384423
H99:MRG:2:250040040	-0.029226022	-0.043023515	0.033384122	0.0429977	0.025109926
HP301:MRG:8:250040835	-0.028089382	-0.07454356	-0.14305274	0.016494732	0.010135288
Hi27:MRG:2:250040013	0.03627599	0.05603141	0.0027371782	0.008308564	-0.07413947
Hp301(PI587131):62P7LAAXX:5:250028178	-0.028265212	-0.07318682	-0.1418345	0.015876913	0.010367041
Hy:MRG:2:250040035	-0.06755633	0.008497409	0.023103764	0.016937368	0.014854237
I137TN:C08L7ACXX:6:250048000	0.03611032	-0.010315295	-0.011988028	0.003256497	-0.002482887
I205:MRG:2:250040145	-0.058590036	0.017992934	0.018447293	0.012605309	-0.02870368
I29:C08L7ACXX:6:250047999	-0.011543801	-0.054453455	-0.07884576	0.0107136	-0.009509578
IA2132:MRG:8:250040837	-0.058378432	-0.08191659	-0.087024465	0.0044008023	-0.0013512773
IDS28:C08L7ACXX:6:250048002	-0.025911072	-0.06795766	-0.0871627	0.012377067	0.0038790465
IDS69:MRG:2:250040148	-0.02823757	-0.07704506	-0.14090613	0.017600358	0.011745437
IDS91:MRG:2:250040055	-0.028441371	-0.07850641	-0.1410038	0.018377649	0.012770435
IL14H:81FE7ABXX:1:250031045	-0.072541565	-0.10275652	-0.12303142	0.0044464315	-0.007982437
Ia5125:MRG:2:250040164	-0.060094878	-0.075852446	-0.070474215	0.008474552	-0.0075771827
Il101:MRG:2:250040093	-0.08026004	-0.108549856	-0.117321976	0.004119766	-0.008767011
Il14H:MRG:8:250040821	-0.07200984	-0.1058531	-0.124370545	0.004970582	-0.009187415
Il14H(Ames27118):62P7LAAXX:5:250028215	-0.072347425	-0.10302958	-0.12318804	0.004484375	-0.008118584
Il677a:MRG:2:250040074	-0.051440924	-0.0824407	-0.096721	0.006695681	-0.009298062
K148:MRG:2:250040184	-0.011365147	-0.029666742	0.0027103773	0.0076985676	0.0019308816
K4:MRG:2:250040162	-0.02358756	-0.01970313	0.011416539	0.005890386	0.002136434
K55:C08L7ACXX:6:250047986	-0.008718373	-0.028308138	-0.0061282604	2.7864246E-4	-0.001987016
K64:MRG:2:250040197	-0.012648035	-0.027203735	-0.0059137354	0.0069953543	-0.013146015
KE_Maize634:B81RP7ABXX:5:250014492	0.083000146	0.016691444	-0.0050014136	0.009305711	-0.0019502364
KY226:MRG:2:250040192	-0.0031723895	-0.002514434	0.025583185	0.017199479	0.030915366
KY228:MRG:2:250040205	-0.011725492	-0.033198282	-0.0037383533	0.002548842	-0.0035049801
Ki11:MRG:8:250040812	0.0887357	0.029285472	0.0012803217	-0.0017353605	0.0018871264
Ki11(Ames27124):62P7LAAXX:5:250028170	0.086987	0.03000558	0.0010780429	-0.0020506463	0.0028488166
Ki14:C08L7ACXX:6:250047943	0.09246284	0.027114075	-0.0013689611	-0.0026283509	0.0018926547
Ki2021:MRG:2:250040139	0.09780936	0.025209215	-0.0012363016	-0.0053146654	0.0057806554
Ki21:MRG:2:250040067	0.042530645	-0.00513165	0.023581922	-0.06835632	0.012268836
Ki3:MRG:8:250040831	0.10052615	0.03144076	-0.0024914036	0.0019095467	0.0067342627
Ki3(Ames27123):62P7LAAXX:5:250028180	0.09900967	0.03186545	-0.0022263895	0.0019651905	0.0073984643
Ki43:MRG:2:250040196	0.08715636	0.014314186	0.0044236155	-7.792221E-4	-0.0010448401
Ki44:MRG:2:250040152	0.08201584	0.021895995	0.001414786	0.0057606366	0.009792809
Ky21:MRG:8:250040813	-0.020717042	-0.026634129	-0.011429988	-0.0034368054	-0.011881538
Ky21(Ames27130):628P9AAXX:2:250024968	-0.021050123	-0.025970116	-0.0117959995	-0.0035774247	-0.011634511
L317:C08L7ACXX:6:250047944	-0.020729693	-0.05052201	-0.0031738938	0.005875276	-0.011062167
L578:MRG:2:250040048	0.03068443	-0.011064594	-0.0013839958	-0.014146773	-0.0064798123
M14:C08L7ACXX:6:250047977	-0.053228732	-0.031120423	0.02924571	0.032021377	0.008913398
M162W:MRG:8:250040834	0.020631302	-0.017729701	5.290529E-4	0.008903927	-0.012002264
M162W(Ames27134):628P9AAXX:4:250025094	0.020260548	-0.01722525	8.1687054E-4	0.008549719	-0.011704652
M37W:MRG:8:250040826	0.032204144	-0.008100563	-0.006158429	-0.0010453844	-0.0069991653
M37W(Ames27133):62P7LAAXX:5:250028192	0.03118457	-0.0067761536	-0.0060575935	-0.0013069168	-0.0061436766
MEF156-55-2:MRG:2:250040202	-0.052137267	-0.08154239	-0.07649208	0.0030393826	0.0020939622
MO1W:MRG:2:250040219	-0.015081942	-0.025141638	0.0784992	0.012133473	0.025460135
MR19_(Santo_Domingo):81N4HABXX:1:250032950	0.0010005243	-0.028138228	-0.040547293	0.0017865794	-0.00246746
MR20_(Shoe_Peg):81N4HABXX:1:250032961	-0.0118648745	-0.020343885	0.0035869372	-0.0033348738	-0.0055601597
MR20_(Shoe_Peg)_S7:81N4HABXX:1:250032897	-0.009953485	-0.019751322	0.0034844584	-0.0042972676	-0.0050210184
MS1334:MRG:2:250040085	-0.01775613	-0.036935017	-0.013944892	-6.863906E-4	-0.004063697
MS153:MRG:2:250040218	-0.043523695	-0.044300243	-0.0102353515	0.02591683	0.0090286555
MS71:MRG:8:250040817	-0.049451362	-0.021716334	0.02695017	0.028319245	0.00922134
MS71(PI587137):709G4AAXX:2:250025847	-0.050238308	-0.020165967	0.026227212	0.027352396	0.009933598
Mo17:C00R8ABXX:6:250007676	-0.042853564	-0.044807453	0.03862929	-0.12915096	0.013276955
Mo17(PI648430):62P7LAAXX:4:250027967	-0.042713128	-0.0443201	0.03835915	-0.12932043	0.013451943
Mo18W:MRG:8:250040814	0.059091788	0.005648123	0.020799099	0.004935952	0.0037371719
Mo18W(PI550441):62P7LAAXX:1:250025598	0.058563944	0.005931748	0.02087681	0.0049096746	0.0039462135
Mo24W:MRG:2:250040043	0.0028535668	-0.012403732	-0.0041215736	-0.0012954152	0.0040278006
Mo44:MRG:2:250040050	-0.046948723	-0.026345246	0.04475511	0.021371484	0.0142730195
Mo45:MRG:2:250040213	-0.02698392	0.006157799	0.01666271	-0.02439206	-0.011424337
Mo46:MRG:2:250040028	-0.03598852	-1.3744242E-4	0.029009942	-0.031705957	-0.0027825774
Mo47:MRG:2:250040136	-0.014718682	0.009608393	0.0059445896	-0.012132047	-0.011334149
MoG:MRG:2:250040000	-0.017057614	-0.030204656	-0.00927136	-3.064303E-4	-0.013058537
Mp339:MRG:2:250040217	0.01710299	-0.013639042	-0.002380335	0.0016571322	-0.01015572
Mt42:MRG:2:250040078	-0.024760794	-0.035932604	-0.011607708	0.007575102	-0.012512408
N192:MRG:2:250040210	-0.13030101	0.14003393	-0.020069277	-0.013447158	-0.007476286
